id,home_team_id,away_team_id,poss_home,poss_away,shots_ot_home,shots_total_home,shots_ot_away,shots_total_away,saves_home,saves_away,cards_home,cards_away
90424437776635,TEAM-A415D192,TEAM-B2118D2C,64,36,6,18,1,4,0,6,0,0
280316716603656,TEAM-A4EC0F45,TEAM-720795A0,62,38,8,17,2,8,1,5,0,0
107894924367110,TEAM-550D05AB,TEAM-782246EA,75,25,12,22,2,7,1,8,0,0
191037104569540,TEAM-7C631724,TEAM-839B22B8,51,50,6,12,1,12,1,4,0,0
136755605360882,TEAM-BDDFCDFA,TEAM-0FF29040,57,43,5,16,4,10,2,3,0,0
149529704628947,TEAM-839B22B8,TEAM-7273A887,58,42,3,7,2,6,1,2,0,0
39518732591537,TEAM-0FF29040,TEAM-1C981597,57,43,2,13,5,14,3,2,0,0
125648939033193,TEAM-51EA86E0,TEAM-BDDFCDFA,45,55,4,4,6,19,5,2,0,0
43788885623702,TEAM-0587F59E,TEAM-0E077100,52,48,5,18,2,6,1,3,0,0
225843569246768,TEAM-93330B41,TEAM-27AC674B,70,31,7,26,2,9,1,4,0,0
125712383575680,TEAM-3E37DB98,TEAM-A4EC0F45,47,53,5,25,3,6,2,2,0,0
70990788457885,TEAM-B2118D2C,TEAM-550D05AB,39,61,5,13,8,17,7,1,0,0
115383552720083,TEAM-D069E7F8,TEAM-7C631724,50,50,5,14,3,12,1,3,0,0
218211205609476,TEAM-782246EA,TEAM-A415D192,51,49,3,10,2,7,1,3,0,0
161406442093837,TEAM-720795A0,TEAM-F53424F0,59,41,4,18,1,6,1,3,0,0
121752485147317,TEAM-0FF29040,TEAM-D069E7F8,61,39,4,13,10,19,8,4,0,0
113189581016765,TEAM-B2118D2C,TEAM-0E077100,58,42,4,13,6,7,3,3,0,0
205022729024640,TEAM-550D05AB,TEAM-51EA86E0,68,32,9,27,4,11,3,7,0,0
43123034282656,TEAM-27AC674B,TEAM-7C631724,39,61,3,7,3,16,1,2,0,0
97542611844075,TEAM-F53424F0,TEAM-839B22B8,59,41,9,18,2,9,2,8,0,0
100012646648395,TEAM-A4EC0F45,TEAM-0587F59E,69,31,5,15,1,4,1,5,0,0
122694556029353,TEAM-720795A0,TEAM-782246EA,41,59,1,4,7,17,6,0,0,0
163343429060959,TEAM-1C981597,TEAM-A415D192,54,46,4,17,5,10,1,4,0,0
15045513827979,TEAM-7273A887,TEAM-93330B41,24,76,1,7,10,23,9,1,0,0
87432229548299,TEAM-3E37DB98,TEAM-BDDFCDFA,63,38,3,13,2,5,2,3,0,0
5032611259275,TEAM-782246EA,TEAM-B2118D2C,40,60,3,5,1,6,0,1,0,0
125986801044396,TEAM-51EA86E0,TEAM-0FF29040,65,35,6,8,5,10,2,3,0,0
217617549854870,TEAM-D069E7F8,TEAM-A4EC0F45,32,68,7,16,4,13,4,6,0,0
240235579276521,TEAM-0587F59E,TEAM-7273A887,57,43,4,7,3,8,3,4,0,0
211188047924725,TEAM-BDDFCDFA,TEAM-27AC674B,57,43,3,15,5,12,3,3,0,0
266459115822441,TEAM-0E077100,TEAM-1C981597,63,37,4,20,5,13,4,4,0,0
192094415737604,TEAM-93330B41,TEAM-550D05AB,32,69,10,23,6,15,4,8,0,0
70416217227440,TEAM-839B22B8,TEAM-720795A0,62,39,7,17,5,11,2,5,0,0
99147758124915,TEAM-A415D192,TEAM-3E37DB98,54,47,5,15,2,12,2,4,0,0
279595461165615,TEAM-7C631724,TEAM-F53424F0,57,43,5,17,4,9,2,5,0,0
26143173390922,TEAM-7273A887,TEAM-51EA86E0,40,60,4,12,4,8,3,2,0,0
57267236260772,TEAM-27AC674B,TEAM-A415D192,47,53,7,16,3,13,3,3,0,0
