match_id,team_id,side,possession,shots_on_target,shots_total,saves,cards
67613765501946,TEAM-7273A887,HOME,46,1,7,4,0
117984295432745,TEAM-A415D192,AWAY,39,33,3,62,0
236927472265011,TEAM-782246EA,HOME,64,4,17,3,0
236927472265011,TEAM-0E077100,AWAY,36,43,3,75,0
125464082459181,TEAM-839B22B8,HOME,39,2,9,3,0
125464082459181,TEAM-A4EC0F45,AWAY,61,33,4,50,0
181953479192697,TEAM-0FF29040,HOME,21,3,7,7,0
181953479192697,TEAM-550D05AB,AWAY,80,45,10,66,0
144047014190753,TEAM-51EA86E0,HOME,60,3,12,5,0
144047014190753,TEAM-D069E7F8,AWAY,40,25,5,100,0
242013668070201,TEAM-7273A887,HOME,54,4,11,2,0
242013668070201,TEAM-1C981597,AWAY,46,27,3,75,0
175204441885868,TEAM-0E077100,HOME,39,3,12,3,0
46084056047093,TEAM-27AC674B,HOME,42,5,14,4,0
46084056047093,TEAM-0587F59E,AWAY,58,25,4,80,0
90424437776635,TEAM-A415D192,HOME,64,6,18,0,0
90424437776635,TEAM-B2118D2C,AWAY,36,25,1,100,0
280316716603656,TEAM-A4EC0F45,HOME,62,8,17,1,0
280316716603656,TEAM-720795A0,AWAY,38,25,2,62,0
107894924367110,TEAM-550D05AB,HOME,75,12,22,1,0
107894924367110,TEAM-782246EA,AWAY,25,29,2,66,0
191037104569540,TEAM-7C631724,HOME,51,6,12,1,0
191037104569540,TEAM-839B22B8,AWAY,50,8,1,66,0
136755605360882,TEAM-BDDFCDFA,HOME,57,5,16,2,0
136755605360882,TEAM-0FF29040,AWAY,43,40,4,60,0
149529704628947,TEAM-839B22B8,HOME,58,3,7,1,0
149529704628947,TEAM-7273A887,AWAY,42,33,2,66,0
39518732591537,TEAM-0FF29040,HOME,57,2,13,3,0
39518732591537,TEAM-1C981597,AWAY,43,36,5,100,0
125648939033193,TEAM-51EA86E0,HOME,45,4,4,5,0
125648939033193,TEAM-BDDFCDFA,AWAY,55,32,6,50,0
43788885623702,TEAM-0587F59E,HOME,52,5,18,1,0
43788885623702,TEAM-0E077100,AWAY,48,33,2,60,0
225843569246768,TEAM-93330B41,HOME,70,7,26,1,0
225843569246768,TEAM-27AC674B,AWAY,31,22,2,57,0
125712383575680,TEAM-A4EC0F45,AWAY,53,50,3,40,0
70990788457885,TEAM-B2118D2C,HOME,39,5,13,7,0
70990788457885,TEAM-550D05AB,AWAY,61,47,8,20,0
115383552720083,TEAM-D069E7F8,HOME,50,5,14,1,0
115383552720083,TEAM-7C631724,AWAY,50,25,3,60,0
218211205609476,TEAM-782246EA,HOME,51,3,10,1,0
218211205609476,TEAM-A415D192,AWAY,49,29,2,100,0
161406442093837,TEAM-720795A0,HOME,59,4,18,1,0
